,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
616461,1988,3,8,11,4,1988-08-11,US,20355,AL,,130,13244,1324401,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,14122,1412201,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,945,946,1,1,0,0,0900-0959,,,,,1221,1222,1,1,0,0,1200-1259,0,,0,96,96,,1,652,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499297,1988,4,12,23,5,1988-12-23,EA,19707,EA,,689,10257,1025701,30257,ALB,"Albany, NY",NY,36,New York,22,10397,1039702,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1755,1835,40,40,1,2,1700-1759,,,,,2029,2056,27,27,1,1,2000-2059,0,,0,154,141,,1,852,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512775,1988,2,5,21,6,1988-05-21,AA,19805,AA,,668,13930,1393001,30977,ORD,"Chicago, IL",IL,17,Illinois,41,14100,1410001,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,1552,1644,52,52,1,3,1500-1559,,,,,1859,1929,30,30,1,2,1800-1859,0,,0,127,105,,1,678,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699131,1988,2,5,13,5,1988-05-13,TW,20211,TW,,249,10821,1082102,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,15016,1501601,31123,STL,"St. Louis, MO",MO,29,Missouri,64,1640,1646,6,6,0,0,1600-1659,,,,,1752,1809,17,17,1,1,1700-1759,0,,0,132,143,,1,737,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373053,1988,1,3,5,6,1988-03-05,DL,19790,DL,,949,14100,1410001,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,13204,1320401,31454,MCO,"Orlando, FL",FL,12,Florida,33,1340,1340,0,0,0,0,1300-1359,,,,,1559,1607,8,8,0,0,1500-1559,0,,0,139,147,,1,861,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970321,1988,1,3,27,7,1988-03-27,PI,19822,PI,,929,14524,1452401,34524,RIC,"Richmond, VA",VA,51,Virginia,38,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,715,715,0,0,0,0,0700-0759,,,,,820,811,-9,0,0,-1,0800-0859,0,,0,65,56,,1,278,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585827,1988,2,5,21,6,1988-05-21,DL,19790,DL,,84,12173,1217301,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,14679,1467901,33570,SAN,"San Diego, CA",CA,6,California,91,2250,2250,0,0,0,0,2200-2259,,,,,645,609,-36,0,0,-2,0600-0659,0,,0,295,259,,1,2614,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163938,1988,4,12,6,2,1988-12-06,WN,19393,WN,,992,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,16440,1644001,30423,AUS,"Austin, TX",TX,48,Texas,74,1830,1830,0,0,0,0,1800-1859,,,,,2135,2133,-2,0,0,-1,2100-2159,0,,0,125,123,,1,868,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626694,1988,4,12,6,2,1988-12-06,NW,19386,NW,,505,13487,1348701,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,13871,1387101,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,1415,1415,0,0,0,0,1400-1459,,,,,1516,1514,-2,0,0,-1,1500-1559,0,,0,61,59,,1,282,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340481,1988,3,7,25,1,1988-07-25,AA,19805,AA,,109,10693,1069301,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,11298,1129801,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1900,1900,0,0,0,0,1900-1959,,,,,2051,2049,-2,0,0,-1,2000-2059,0,,0,111,109,,1,631,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206573,1988,3,8,27,6,1988-08-27,HP,19991,HP,,24,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6,California,91,1200,1200,0,0,0,0,1200-1259,,,,,1310,1320,10,10,0,0,1300-1359,0,,0,70,80,,1,370,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747040,1988,3,7,14,4,1988-07-14,UA,19977,UA,,445,13871,1387101,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,11292,1129201,30325,DEN,"Denver, CO",CO,8,Colorado,82,1035,1033,-2,0,0,-1,1000-1059,,,,,1101,1110,9,9,0,0,1100-1159,0,,0,86,97,,1,484,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947133,1988,1,3,15,2,1988-03-15,TW,20211,TW,,236,11066,1106601,31066,CMH,"Columbus, OH",OH,39,Ohio,44,12478,1247801,31703,JFK,"New York, NY",NY,36,New York,22,1518,1517,-1,0,0,-1,1500-1559,,,,,1659,1700,1,1,0,0,1600-1659,0,,0,101,103,,1,483,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251385,1988,2,5,14,6,1988-05-14,AA,19805,AA,,920,14107,1410701,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81,11298,1129801,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1755,1754,-1,0,0,-1,1700-1759,,,,,2214,2209,-5,0,0,-1,2200-2259,0,,0,139,135,,1,868,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947648,1988,1,2,26,5,1988-02-26,TW,20211,TW,,531,11066,1106601,31066,CMH,"Columbus, OH",OH,39,Ohio,44,15016,1501601,31123,STL,"St. Louis, MO",MO,29,Missouri,64,742,742,0,0,0,0,0700-0759,,,,,805,800,-5,0,0,-1,0800-0859,0,,0,83,78,,1,410,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946099,1988,1,1,21,4,1988-01-21,NW,19386,NW,,972,13303,1330302,32467,MIA,"Miami, FL",FL,12,Florida,33,13244,1324401,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,1000,1009,9,9,0,0,1000-1059,,,,,1122,1127,5,5,0,0,1100-1159,0,,0,142,138,,1,860,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078174,1988,4,10,26,3,1988-10-26,DL,19790,DL,,1014,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91,11298,1129801,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1100,1121,21,21,1,1,1100-1159,,,,,1607,1643,36,36,1,2,1600-1659,0,,0,187,202,,1,1465,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741997,1988,4,11,5,6,1988-11-05,CO,19704,CO,,1639,10721,1072101,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,11292,1129201,30325,DEN,"Denver, CO",CO,8,Colorado,82,900,909,9,9,0,0,0900-0959,,,,,1135,1118,-17,0,0,-2,1100-1159,0,,0,275,249,,1,1766,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098217,1988,1,2,29,1,1988-02-29,AA,19805,AA,,146,11298,1129801,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,12278,1227801,30928,ICT,"Wichita, KS",KS,20,Kansas,62,1604,1608,4,4,0,0,1600-1659,,,,,1711,1716,5,5,0,0,1700-1759,0,,0,67,68,,1,329,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
